TotalResponseTime,type,DurationTimeHist,ResponseTimeHist,InitCost
1.838,remote,1.216,1.216,0.0
0.582,remote,0.582,0.582,0.0
2.104,remote,1.221,1.221,0.0
4.086,remote,2.665,2.665,0.0
0.632,remote,0.632,0.632,0.0
1.425,remote,1.065,1.065,0.0
0.588,remote,0.588,0.588,0.0
0.432,remote,0.43100000000000005,0.43100000000000005,0.0
3.16,remote,2.7609999999999997,2.7609999999999997,0.0
0.88,remote,0.5800000000000001,0.5800000000000001,0.0
10.728,remote,6.479,6.479,0.0
0.665,remote,0.665,0.665,0.0
2.017,remote,2.0180000000000002,2.0180000000000002,0.0
6.787,remote,4.502000000000001,4.502000000000001,0.0
2.392,remote,1.822,1.822,0.0
0.62,remote,0.62,0.62,0.0
2.446,remote,1.523,1.523,0.0
2.949,remote,1.6510000000000002,1.6510000000000002,0.0
2.618,remote,1.727,1.727,0.0
3.288,remote,2.12,2.12,0.0
11.35,remote,7.196,7.196,0.0
5.885,remote,4.611000000000001,4.611000000000001,0.0
3.878,remote,2.931,2.931,0.0
2.168,remote,1.362,1.362,0.0
5.636,remote,4.624,4.624,0.0
1.749,remote,1.749,1.749,0.0
0.324,remote,0.324,0.324,0.0
4.501,remote,3.1159999999999997,3.1159999999999997,0.0
1.846,remote,0.9239999999999999,0.9239999999999999,0.0
0.658,remote,0.439,0.439,0.0
3.873,remote,2.882,2.882,0.0
3.682,remote,3.29,3.29,0.0
7.956,remote,4.915,4.915,0.0
2.971,remote,2.285,2.285,0.0
7.022,remote,3.8289999999999997,3.8289999999999997,0.0
5.354,remote,2.798,2.798,0.0
0.534,remote,0.534,0.534,0.0
10.696,remote,7.211999999999999,7.211999999999999,0.0
0.875,remote,0.6659999999999999,0.6659999999999999,0.0
2.652,remote,1.176,1.176,0.0
5.727,remote,4.825,4.825,0.0
10.556,remote,6.7139999999999995,6.7139999999999995,0.0
1.753,remote,1.753,1.753,0.0
5.929,remote,4.470999999999999,4.470999999999999,0.0
5.391,remote,3.027,3.027,0.0
4.506,remote,3.395,3.395,0.0
7.512,remote,4.21,4.21,0.0
1.583,remote,0.942,0.942,0.0
9.377,remote,5.284999999999999,5.284999999999999,0.0
12.924,remote,9.386000000000001,9.386000000000001,0.0
6.01,remote,3.039,3.039,0.0
1.61,remote,0.804,0.804,0.0
3.678,remote,2.915,2.915,0.0
3.87,remote,3.527,3.527,0.0
8.574,remote,5.090999999999999,5.090999999999999,0.0
5.286,remote,2.487,2.487,0.0
1.349,remote,1.02,1.02,0.0
0.826,remote,0.8270000000000001,0.8270000000000001,0.0
1.656,remote,1.179,1.179,0.0
3.783,remote,3.1340000000000003,3.1340000000000003,0.0
1.285,remote,1.012,1.012,0.0
1.039,remote,0.769,0.769,0.0
2.39,remote,2.075,2.075,0.0
7.466,remote,6.028,6.028,0.0
3.367,remote,3.047,3.047,0.0
0.941,remote,0.942,0.942,0.0
4.788,remote,3.667,3.667,0.0
1.924,remote,1.3680000000000003,1.3680000000000003,0.0
0.386,remote,0.386,0.386,0.0
7.182,remote,4.335,4.335,0.0
1.504,remote,1.505,1.505,0.0
6.297,remote,4.8469999999999995,4.8469999999999995,0.0
1.467,remote,0.978,0.978,0.0
1.15,remote,0.867,0.867,0.0
1.065,remote,0.807,0.807,0.0
3.64,remote,2.6710000000000003,2.6710000000000003,0.0
5.978,remote,3.348,3.348,0.0
6.841,remote,4.836,4.836,0.0
1.281,remote,0.757,0.757,0.0
10.522,remote,7.227000000000001,7.227000000000001,0.0
1.347,remote,1.347,1.347,0.0
4.243,remote,1.815,1.815,0.0
10.755,remote,7.088,7.088,0.0
5.567,remote,2.418,2.418,0.0
2.835,remote,1.911,1.911,0.0
2.004,remote,1.7280000000000002,1.7280000000000002,0.0
3.45,remote,2.406,2.406,0.0
1.026,remote,0.513,0.513,0.0
1.25,remote,0.625,0.625,0.0
3.541,remote,2.1109999999999998,2.1109999999999998,0.0
3.348,remote,2.6710000000000003,2.6710000000000003,0.0
3.563,remote,3.2490000000000006,3.2490000000000006,0.0
1.116,remote,1.116,1.116,0.0
1.581,remote,0.791,0.791,0.0
0.857,remote,0.574,0.574,0.0
1.19,remote,0.9339999999999999,0.9339999999999999,0.0
6.146,remote,3.9829999999999997,3.9829999999999997,0.0
0.445,remote,0.445,0.445,0.0
0.703,remote,0.7030000000000001,0.7030000000000001,0.0
7.566,remote,4.802,4.802,0.0
2.734,remote,2.1679999999999997,2.1679999999999997,0.0
3.275,remote,2.28,2.28,0.0
4.441,remote,2.692,2.692,0.0
6.557,remote,2.8040000000000003,2.8040000000000003,0.0
5.246,remote,2.896,2.896,0.0
7.645,remote,5.3100000000000005,5.3100000000000005,0.0
10.441,remote,8.499999999999998,8.499999999999998,0.0
6.018,remote,3.5,3.5,0.0
6.75,remote,4.015000000000001,4.015000000000001,0.0
1.955,remote,1.111,1.111,0.0
4.883,remote,2.262,2.262,0.0
1.654,remote,1.1070000000000002,1.1070000000000002,0.0
3.289,remote,2.624,2.624,0.0
0.392,remote,0.196,0.196,0.0
5.84,remote,4.9719999999999995,4.9719999999999995,0.0
1.624,remote,0.9889999999999999,0.9889999999999999,0.0
0.769,remote,0.769,0.769,0.0
3.245,remote,1.7799999999999998,1.7799999999999998,0.0
3.788,remote,1.7489999999999999,1.7489999999999999,0.0
7.538,remote,5.806,5.806,0.0
0.313,remote,0.313,0.313,0.0
2.36,remote,1.202,1.202,0.0
2.049,remote,2.049,2.049,0.0
1.14,remote,0.8999999999999999,0.8999999999999999,0.0
1.923,remote,1.37,1.37,0.0
0.535,remote,0.535,0.535,0.0
1.218,remote,1.218,1.218,0.0
0.291,remote,0.291,0.291,0.0
7.791,remote,6.045000000000001,6.045000000000001,0.0
7.504,remote,5.559,5.559,0.0
1.794,remote,1.19,1.19,0.0
1.839,remote,1.2309999999999999,1.2309999999999999,0.0
0.729,remote,0.485,0.485,0.0
4.004,remote,2.312,2.312,0.0
9.996,remote,7.226000000000001,7.226000000000001,0.0
12.102,remote,5.452000000000001,5.452000000000001,0.0
3.703,remote,2.842,2.842,0.0
0.661,remote,0.661,0.661,0.0
4.38,remote,2.5,2.5,0.0
1.559,remote,0.958,0.958,0.0
7.514,remote,4.685,4.685,0.0
5.258,remote,4.6160000000000005,4.6160000000000005,0.0
0.852,remote,0.852,0.852,0.0
6.935,remote,3.419,3.419,0.0
6.28,remote,5.016,5.016,0.0
3.033,remote,1.5150000000000001,1.5150000000000001,0.0
3.223,remote,2.458,2.458,0.0
1.418,remote,1.143,1.143,0.0
4.186,remote,1.9560000000000002,1.9560000000000002,0.0
3.987,remote,2.5549999999999997,2.5549999999999997,0.0
0.902,remote,0.601,0.601,0.0
6.556,remote,3.215,3.215,0.0
1.829,remote,0.915,0.915,0.0
3.487,remote,2.088,2.088,0.0
0.879,remote,0.585,0.585,0.0
9.848,remote,8.847999999999999,8.847999999999999,0.0
1.669,remote,1.386,1.386,0.0
0.574,remote,0.574,0.574,0.0
0.501,remote,0.5,0.5,0.0
13.819,remote,9.501000000000001,9.501000000000001,0.0
4.001,remote,2.842,2.842,0.0
2.955,remote,1.4900000000000002,1.4900000000000002,0.0
2.692,remote,1.3330000000000002,1.3330000000000002,0.0
14.657,remote,11.952000000000002,11.952000000000002,0.0
2.085,remote,1.812,1.812,0.0
3.645,remote,1.3980000000000001,1.3980000000000001,0.0
5.153,remote,3.0500000000000003,3.0500000000000003,0.0
10.062,remote,6.5169999999999995,6.5169999999999995,0.0
1.701,remote,1.23,1.23,0.0
4.966,remote,3.083,3.083,0.0
2.145,remote,0.804,0.804,0.0
2.229,remote,0.99,0.99,0.0
5.834,remote,2.448,2.448,0.0
2.738,remote,2.738,2.738,0.0
0.32,remote,0.32,0.32,0.0
6.845,remote,4.561999999999999,4.561999999999999,0.0
0.965,remote,0.9650000000000001,0.9650000000000001,0.0
3.27,remote,2.112,2.112,0.0
1.008,remote,1.008,1.008,0.0
0.886,remote,0.591,0.591,0.0
1.711,remote,1.713,1.713,0.0
5.776,remote,3.3819999999999997,3.3819999999999997,0.0
2.591,remote,1.8239999999999998,1.8239999999999998,0.0
1.353,remote,1.3530000000000002,1.3530000000000002,0.0
3.968,remote,2.011,2.011,0.0
2.228,remote,1.286,1.286,0.0
4.434,remote,3.632,3.632,0.0
10.628,remote,6.590000000000001,6.590000000000001,0.0
2.476,remote,1.238,1.238,0.0
4.495,remote,2.9579999999999993,2.9579999999999993,0.0
2.07,remote,2.069,2.069,0.0
2.169,remote,2.17,2.17,0.0
0.464,remote,0.463,0.463,0.0
0.605,remote,0.606,0.606,0.0
10.872,remote,5.159,5.159,0.0
3.909,remote,1.939,1.939,0.0
5.618,remote,2.526,2.526,0.0
2.329,remote,2.3289999999999997,2.3289999999999997,0.0
0.737,remote,0.737,0.737,0.0
6.384,remote,3.6719999999999997,3.6719999999999997,0.0
0.724,remote,0.483,0.483,0.0
2.133,remote,1.8199999999999998,1.8199999999999998,0.0
1.055,remote,0.527,0.527,0.0
