TotalResponseTime,type,DurationTimeHist,ResponseTimeHist,InitCost
5.593,AWS::DynamoDB::Table,5.5920000000000005,5.5920000000000005,0.0
5.49,AWS::DynamoDB::Table,5.488,5.488,0.0
5.92,AWS::DynamoDB::Table,5.921000000000001,5.921000000000001,0.0
4.789,AWS::DynamoDB::Table,4.790000000000001,4.790000000000001,0.0
5.174,AWS::DynamoDB::Table,5.1739999999999995,5.1739999999999995,0.0
6.045,AWS::DynamoDB::Table,6.045000000000001,6.045000000000001,0.0
4.772,AWS::DynamoDB::Table,4.772,4.772,0.0
6.773,AWS::DynamoDB::Table,6.7730000000000015,6.7730000000000015,0.0
8.723,AWS::DynamoDB::Table,8.723,8.723,0.0
5.472,AWS::DynamoDB::Table,5.4719999999999995,5.4719999999999995,0.0
6.377,AWS::DynamoDB::Table,6.236999999999999,6.236999999999999,0.0
5.838,AWS::DynamoDB::Table,5.836,5.836,0.0
6.036,AWS::DynamoDB::Table,6.035,6.035,0.0
4.597,AWS::DynamoDB::Table,4.555,4.555,0.0
5.416,AWS::DynamoDB::Table,5.416000000000001,5.416000000000001,0.0
5.978,AWS::DynamoDB::Table,5.978,5.978,0.0
5.606,AWS::DynamoDB::Table,5.606999999999998,5.606999999999998,0.0
5.485,AWS::DynamoDB::Table,5.486,5.486,0.0
4.875,AWS::DynamoDB::Table,4.875,4.875,0.0
5.668,AWS::DynamoDB::Table,5.666999999999998,5.666999999999998,0.0
3.213,AWS::DynamoDB::Table,3.212,3.212,0.0
5.434,AWS::DynamoDB::Table,5.432999999999999,5.432999999999999,0.0
6.938,AWS::DynamoDB::Table,6.939000000000001,6.939000000000001,0.0
6.084,AWS::DynamoDB::Table,6.084999999999999,6.084999999999999,0.0
4.882,AWS::DynamoDB::Table,4.882999999999999,4.882999999999999,0.0
5.252,AWS::DynamoDB::Table,4.951,4.951,0.0
5.423,AWS::DynamoDB::Table,5.423,5.423,0.0
6.827,AWS::DynamoDB::Table,6.826999999999999,6.826999999999999,0.0
3.305,AWS::DynamoDB::Table,3.3050000000000006,3.3050000000000006,0.0
6.779,AWS::DynamoDB::Table,6.778999999999999,6.778999999999999,0.0
7.295,AWS::DynamoDB::Table,7.295,7.295,0.0
2.824,AWS::DynamoDB::Table,2.8240000000000003,2.8240000000000003,0.0
6.163,AWS::DynamoDB::Table,5.964,5.964,0.0
4.92,AWS::DynamoDB::Table,4.92,4.92,0.0
6.963,AWS::DynamoDB::Table,6.964,6.964,0.0
