TotalResponseTime,type,DurationTimeHist,ResponseTimeHist,InitCost
0.857,remote,0.857,0.857,0.0
7.575,remote,4.117999999999999,4.117999999999999,0.0
9.648,remote,5.611,5.611,0.0
5.215,remote,3.0470000000000006,3.0470000000000006,0.0
0.643,remote,0.431,0.431,0.0
0.6,remote,0.3,0.3,0.0
3.05,remote,1.863,1.863,0.0
8.366,remote,5.796,5.796,0.0
7.434,remote,4.443,4.443,0.0
0.867,remote,0.582,0.582,0.0
1.442,remote,1.442,1.442,0.0
8.603,remote,6.28,6.28,0.0
7.822,remote,5.334,5.334,0.0
1.68,remote,1.3559999999999999,1.3559999999999999,0.0
9.377,remote,6.475000000000001,6.475000000000001,0.0
3.45,remote,2.1820000000000004,2.1820000000000004,0.0
0.864,remote,0.8639999999999999,0.8639999999999999,0.0
0.985,remote,0.986,0.986,0.0
3.512,remote,1.8840000000000003,1.8840000000000003,0.0
2.392,remote,2.078,2.078,0.0
1.629,remote,0.8130000000000001,0.8130000000000001,0.0
6.267,remote,4.468000000000001,4.468000000000001,0.0
3.271,remote,1.767,1.767,0.0
1.323,remote,1.062,1.062,0.0
1.069,remote,1.069,1.069,0.0
0.893,remote,0.595,0.595,0.0
1.136,remote,1.136,1.136,0.0
5.116,remote,3.4069999999999996,3.4069999999999996,0.0
3.677,remote,2.262,2.262,0.0
7.163,remote,4.6370000000000005,4.6370000000000005,0.0
4.726,remote,2.87,2.87,0.0
2.527,remote,1.8739999999999999,1.8739999999999999,0.0
0.557,remote,0.557,0.557,0.0
0.948,remote,0.474,0.474,0.0
1.254,remote,1.039,1.039,0.0
9.069,remote,7.027,7.027,0.0
2.007,remote,1.002,1.002,0.0
0.997,remote,0.747,0.747,0.0
0.419,remote,0.419,0.419,0.0
1.052,remote,1.052,1.052,0.0
0.568,remote,0.284,0.284,0.0
4.154,remote,3.282,3.282,0.0
0.88,remote,0.587,0.587,0.0
8.828,remote,7.501,7.501,0.0
1.261,remote,0.75,0.75,0.0
0.808,remote,0.539,0.539,0.0
4.164,remote,1.959,1.959,0.0
3.695,remote,2.319,2.319,0.0
3.439,remote,2.097,2.097,0.0
3.409,remote,1.42,1.42,0.0
4.244,remote,2.5010000000000003,2.5010000000000003,0.0
2.485,remote,1.24,1.24,0.0
3.31,remote,1.8279999999999998,1.8279999999999998,0.0
8.451,remote,4.092,4.092,0.0
5.661,remote,3.5709999999999997,3.5709999999999997,0.0
3.432,remote,1.857,1.857,0.0
0.809,remote,0.809,0.809,0.0
0.85,remote,0.85,0.85,0.0
4.143,remote,2.41,2.41,0.0
2.244,remote,1.502,1.502,0.0
9.311,remote,7.511,7.511,0.0
1.272,remote,0.9490000000000001,0.9490000000000001,0.0
3.854,remote,1.979,1.979,0.0
1.16,remote,0.933,0.933,0.0
0.48,remote,0.48,0.48,0.0
1.518,remote,1.518,1.518,0.0
5.259,remote,2.36,2.36,0.0
6.945,remote,4.333,4.333,0.0
0.741,remote,0.741,0.741,0.0
7.925,remote,5.3340000000000005,5.3340000000000005,0.0
1.844,remote,0.921,0.921,0.0
0.878,remote,0.585,0.585,0.0
5.528,remote,4.289999999999999,4.289999999999999,0.0
0.536,remote,0.268,0.268,0.0
0.828,remote,0.828,0.828,0.0
0.556,remote,0.557,0.557,0.0
6.448,remote,3.573,3.573,0.0
0.305,remote,0.305,0.305,0.0
0.894,remote,0.8939999999999999,0.8939999999999999,0.0
4.439,remote,2.057,2.057,0.0
2.367,remote,1.577,1.577,0.0
3.867,remote,2.792,2.792,0.0
0.755,remote,0.503,0.503,0.0
2.551,remote,2.02,2.02,0.0
1.34,remote,1.34,1.34,0.0
8.18,remote,5.355,5.355,0.0
0.668,remote,0.668,0.668,0.0
5.267,remote,3.221,3.221,0.0
5.588,remote,3.203,3.203,0.0
2.074,remote,1.6920000000000002,1.6920000000000002,0.0
1.026,remote,1.0270000000000001,1.0270000000000001,0.0
4.773,remote,3.27,3.27,0.0
0.632,remote,0.632,0.632,0.0
2.471,remote,2.471,2.471,0.0
8.027,remote,6.064,6.064,0.0
3.138,remote,2.457,2.457,0.0
0.725,remote,0.725,0.725,0.0
6.964,remote,5.425,5.425,0.0
1.056,remote,1.0550000000000002,1.0550000000000002,0.0
1.49,remote,1.49,1.49,0.0
5.262,remote,3.774000000000001,3.774000000000001,0.0
0.741,remote,0.741,0.741,0.0
9.755,remote,6.331,6.331,0.0
7.223,remote,5.014999999999999,5.014999999999999,0.0
1.432,remote,1.138,1.138,0.0
2.332,remote,1.99,1.99,0.0
1.251,remote,0.935,0.935,0.0
5.289,remote,2.459,2.459,0.0
5.365,remote,4.458,4.458,0.0
3.496,remote,2.3810000000000002,2.3810000000000002,0.0
2.784,remote,2.408,2.408,0.0
0.604,remote,0.604,0.604,0.0
8.188,remote,5.664,5.664,0.0
2.003,remote,1.434,1.434,0.0
1.159,remote,0.944,0.944,0.0
0.435,remote,0.435,0.435,0.0
1.151,remote,0.877,0.877,0.0
3.906,remote,3.3830000000000005,3.3830000000000005,0.0
1.356,remote,1.1300000000000001,1.1300000000000001,0.0
0.988,remote,0.988,0.988,0.0
2.349,remote,1.7469999999999999,1.7469999999999999,0.0
1.193,remote,0.891,0.891,0.0
10.198,remote,8.491999999999999,8.491999999999999,0.0
4.742,remote,3.741,3.741,0.0
1.588,remote,1.3059999999999998,1.3059999999999998,0.0
3.247,remote,2.364,2.364,0.0
14.364,remote,9.093000000000002,9.093000000000002,0.0
9.833,remote,6.48,6.48,0.0
1.554,remote,1.268,1.268,0.0
4.487,remote,3.529,3.529,0.0
3.238,remote,2.303,2.303,0.0
7.958,remote,4.603999999999999,4.603999999999999,0.0
9.946,remote,7.352,7.352,0.0
2.354,remote,2.013,2.013,0.0
7.813,remote,6.351999999999999,6.351999999999999,0.0
4.219,remote,3.6069999999999993,3.6069999999999993,0.0
2.258,remote,1.999,1.999,0.0
4.786,remote,3.5110000000000006,3.5110000000000006,0.0
3.79,remote,2.372,2.372,0.0
0.692,remote,0.346,0.346,0.0
0.371,remote,0.371,0.371,0.0
1.502,remote,1.013,1.013,0.0
7.956,remote,4.575,4.575,0.0
4.599,remote,2.9499999999999997,2.9499999999999997,0.0
1.04,remote,0.78,0.78,0.0
8.424,remote,7.307999999999999,7.307999999999999,0.0
0.461,remote,0.461,0.461,0.0
0.766,remote,0.766,0.766,0.0
0.538,remote,0.538,0.538,0.0
0.425,remote,0.425,0.425,0.0
1.213,remote,0.485,0.485,0.0
5.364,remote,3.7479999999999998,3.7479999999999998,0.0
3.159,remote,2.107,2.107,0.0
1.979,remote,1.41,1.41,0.0
0.811,remote,0.811,0.811,0.0
5.761,remote,4.183,4.183,0.0
4.509,remote,3.5149999999999997,3.5149999999999997,0.0
9.508,remote,6.769,6.769,0.0
1.064,remote,0.798,0.798,0.0
0.464,remote,0.464,0.464,0.0
2.409,remote,1.182,1.182,0.0
10.006,remote,7.096,7.096,0.0
3.056,remote,2.7819999999999996,2.7819999999999996,0.0
1.167,remote,1.1680000000000001,1.1680000000000001,0.0
4.223,remote,3.044,3.044,0.0
1.953,remote,1.4020000000000001,1.4020000000000001,0.0
3.761,remote,2.17,2.17,0.0
2.448,remote,1.3550000000000002,1.3550000000000002,0.0
1.109,remote,0.666,0.666,0.0
6.327,remote,5.490000000000001,5.490000000000001,0.0
0.343,remote,0.343,0.343,0.0
0.85,remote,0.637,0.637,0.0
3.871,remote,2.991,2.991,0.0
1.572,remote,1.296,1.296,0.0
0.434,remote,0.434,0.434,0.0
0.572,remote,0.286,0.286,0.0
2.333,remote,1.6920000000000002,1.6920000000000002,0.0
1.538,remote,1.022,1.022,0.0
7.038,remote,4.7170000000000005,4.7170000000000005,0.0
3.441,remote,3.117,3.117,0.0
0.276,remote,0.276,0.276,0.0
1.431,remote,1.431,1.431,0.0
3.634,remote,1.6500000000000001,1.6500000000000001,0.0
5.978,remote,3.6530000000000005,3.6530000000000005,0.0
8.358,remote,5.923,5.923,0.0
1.47,remote,1.17,1.17,0.0
6.165,remote,4.294,4.294,0.0
2.812,remote,2.2409999999999997,2.2409999999999997,0.0
