TotalResponseTime,type,DurationTimeHist,ResponseTimeHist,InitCost
4.021,remote,4.021,4.021,0.0
2.347,remote,1.878,1.878,0.0
3.37,remote,2.888,2.888,0.0
1.091,remote,1.0910000000000002,1.0910000000000002,0.0
1.09,remote,1.09,1.09,0.0
2.731,remote,1.8270000000000002,1.8270000000000002,0.0
2.301,remote,2.301,2.301,0.0
0.802,remote,0.802,0.802,0.0
1.762,remote,1.323,1.323,0.0
0.978,remote,0.979,0.979,0.0
3.177,remote,2.2889999999999997,2.2889999999999997,0.0
2.752,remote,2.752,2.752,0.0
5.466,remote,4.903,4.903,0.0
3.566,remote,3.127,3.127,0.0
4.871,remote,3.85,3.85,0.0
3.143,remote,2.703,2.703,0.0
1.795,remote,1.347,1.347,0.0
3.409,remote,2.455,2.455,0.0
4.749,remote,3.805,3.805,0.0
1.026,remote,1.026,1.026,0.0
1.857,remote,1.8579999999999999,1.8579999999999999,0.0
1.548,remote,1.548,1.548,0.0
1.325,remote,1.325,1.325,0.0
1.674,remote,1.674,1.674,0.0
0.876,remote,0.876,0.876,0.0
4.604,remote,4.015000000000001,4.015000000000001,0.0
2.735,remote,1.812,1.812,0.0
1.038,remote,1.037,1.037,0.0
0.856,remote,0.857,0.857,0.0
1.016,remote,1.016,1.016,0.0
4.519,remote,3.6160000000000005,3.6160000000000005,0.0
3.593,remote,3.593,3.593,0.0
1.029,remote,1.029,1.029,0.0
2.142,remote,1.0710000000000002,1.0710000000000002,0.0
2.118,remote,2.117,2.117,0.0
1.386,remote,1.386,1.386,0.0
0.745,remote,0.745,0.745,0.0
3.444,remote,2.8749999999999996,2.8749999999999996,0.0
1.48,remote,1.48,1.48,0.0
5.221,remote,4.623,4.623,0.0
4.26,remote,3.218,3.218,0.0
1.885,remote,1.8849999999999998,1.8849999999999998,0.0
1.137,remote,1.137,1.137,0.0
0.699,remote,0.699,0.699,0.0
4.135,remote,3.0600000000000005,3.0600000000000005,0.0
1.411,remote,1.411,1.411,0.0
3.483,remote,2.4989999999999997,2.4989999999999997,0.0
0.873,remote,0.873,0.873,0.0
4.013,remote,3.512,3.512,0.0
1.469,remote,1.4689999999999999,1.4689999999999999,0.0
1.255,remote,1.255,1.255,0.0
2.635,remote,2.636,2.636,0.0
2.01,remote,1.51,1.51,0.0
2.099,remote,2.098,2.098,0.0
2.902,remote,1.934,1.934,0.0
2.123,remote,2.1229999999999998,2.1229999999999998,0.0
0.994,remote,0.993,0.993,0.0
3.691,remote,3.179,3.179,0.0
3.139,remote,2.617,2.617,0.0
1.311,remote,1.31,1.31,0.0
3.06,remote,3.06,3.06,0.0
4.915,remote,3.5559999999999996,3.5559999999999996,0.0
0.979,remote,0.979,0.979,0.0
1.845,remote,1.385,1.385,0.0
0.922,remote,0.922,0.922,0.0
0.991,remote,0.99,0.99,0.0
4.604,remote,3.5700000000000003,3.5700000000000003,0.0
3.143,remote,2.626,2.626,0.0
