TotalResponseTime,type,DurationTimeHist,ResponseTimeHist,InitCost
4.16,AWS::DynamoDB::Table,4.058,4.058,0.0
4.142,AWS::DynamoDB::Table,4.144,4.144,0.0
3.62,AWS::DynamoDB::Table,3.619,3.619,0.0
3.696,AWS::DynamoDB::Table,3.6950000000000003,3.6950000000000003,0.0
4.122,AWS::DynamoDB::Table,4.122,4.122,0.0
4.53,AWS::DynamoDB::Table,4.531,4.531,0.0
3.873,AWS::DynamoDB::Table,3.874,3.874,0.0
5.915,AWS::DynamoDB::Table,5.915,5.915,0.0
4.001,AWS::DynamoDB::Table,4.001,4.001,0.0
4.809,AWS::DynamoDB::Table,3.727,3.727,0.0
4.728,AWS::DynamoDB::Table,3.648,3.648,0.0
5.125,AWS::DynamoDB::Table,5.125,5.125,0.0
4.285,AWS::DynamoDB::Table,4.1850000000000005,4.1850000000000005,0.0
4.217,AWS::DynamoDB::Table,4.215999999999999,4.215999999999999,0.0
2.574,AWS::DynamoDB::Table,2.3099999999999996,2.3099999999999996,0.0
4.027,AWS::DynamoDB::Table,4.026000000000001,4.026000000000001,0.0
5.574,AWS::DynamoDB::Table,5.573999999999999,5.573999999999999,0.0
3.756,AWS::DynamoDB::Table,3.7560000000000002,3.7560000000000002,0.0
4.232,AWS::DynamoDB::Table,4.094,4.094,0.0
4.153,AWS::DynamoDB::Table,4.154,4.154,0.0
3.506,AWS::DynamoDB::Table,3.5039999999999996,3.5039999999999996,0.0
4.836,AWS::DynamoDB::Table,4.835,4.835,0.0
4.89,AWS::DynamoDB::Table,4.890000000000001,4.890000000000001,0.0
4.228,AWS::DynamoDB::Table,4.226999999999999,4.226999999999999,0.0
4.082,AWS::DynamoDB::Table,4.0809999999999995,4.0809999999999995,0.0
3.886,AWS::DynamoDB::Table,2.9219999999999997,2.9219999999999997,0.0
4.36,AWS::DynamoDB::Table,4.359,4.359,0.0
4.939,AWS::DynamoDB::Table,4.939,4.939,0.0
4.16,AWS::DynamoDB::Table,4.159,4.159,0.0
3.99,AWS::DynamoDB::Table,3.9899999999999993,3.9899999999999993,0.0
4.183,AWS::DynamoDB::Table,4.183,4.183,0.0
4.257,AWS::DynamoDB::Table,4.257,4.257,0.0
4.581,AWS::DynamoDB::Table,4.581999999999999,4.581999999999999,0.0
1.692,AWS::DynamoDB::Table,1.6929999999999998,1.6929999999999998,0.0
4.156,AWS::DynamoDB::Table,4.156000000000001,4.156000000000001,0.0
3.926,AWS::DynamoDB::Table,3.925,3.925,0.0
4.979,AWS::DynamoDB::Table,4.98,4.98,0.0
5.67,AWS::DynamoDB::Table,5.670999999999999,5.670999999999999,0.0
5.575,AWS::DynamoDB::Table,5.576,5.576,0.0
6.522,AWS::DynamoDB::Table,6.3790000000000004,6.3790000000000004,0.0
4.203,AWS::DynamoDB::Table,4.122,4.122,0.0
5.142,AWS::DynamoDB::Table,5.141,5.141,0.0
4.283,AWS::DynamoDB::Table,4.282,4.282,0.0
6.026,AWS::DynamoDB::Table,6.026,6.026,0.0
3.532,AWS::DynamoDB::Table,3.531,3.531,0.0
6.054,AWS::DynamoDB::Table,6.053999999999999,6.053999999999999,0.0
3.989,AWS::DynamoDB::Table,3.9899999999999998,3.9899999999999998,0.0
5.85,AWS::DynamoDB::Table,5.848,5.848,0.0
4.479,AWS::DynamoDB::Table,4.478000000000001,4.478000000000001,0.0
3.843,AWS::DynamoDB::Table,3.7449999999999997,3.7449999999999997,0.0
4.243,AWS::DynamoDB::Table,4.245,4.245,0.0
2.862,AWS::DynamoDB::Table,2.862,2.862,0.0
4.255,AWS::DynamoDB::Table,4.255,4.255,0.0
4.816,AWS::DynamoDB::Table,4.815,4.815,0.0
5.346,AWS::DynamoDB::Table,5.3439999999999985,5.3439999999999985,0.0
4.078,AWS::DynamoDB::Table,4.077,4.077,0.0
4.644,AWS::DynamoDB::Table,4.642999999999999,4.642999999999999,0.0
5.86,AWS::DynamoDB::Table,5.859,5.859,0.0
3.842,AWS::DynamoDB::Table,3.8409999999999997,3.8409999999999997,0.0
5.483,AWS::DynamoDB::Table,5.484,5.484,0.0
4.465,AWS::DynamoDB::Table,3.485,3.485,0.0
4.311,AWS::DynamoDB::Table,3.532,3.532,0.0
5.274,AWS::DynamoDB::Table,5.274000000000001,5.274000000000001,0.0
4.048,AWS::DynamoDB::Table,4.049,4.049,0.0
5.399,AWS::DynamoDB::Table,5.399,5.399,0.0
3.978,AWS::DynamoDB::Table,3.296,3.296,0.0
3.61,AWS::DynamoDB::Table,3.6100000000000003,3.6100000000000003,0.0
4.112,AWS::DynamoDB::Table,4.113,4.113,0.0
