TotalResponseTime,type,DurationTimeHist,ResponseTimeHist,InitCost
0.196,remote,0.196,0.196,0.0
0.265,remote,0.265,0.265,0.0
0.258,remote,0.258,0.258,0.0
0.208,remote,0.208,0.208,0.0
0.209,remote,0.209,0.209,0.0
0.333,remote,0.333,0.333,0.0
0.168,remote,0.168,0.168,0.0
0.266,remote,0.266,0.266,0.0
0.186,remote,0.186,0.186,0.0
0.247,remote,0.247,0.247,0.0
0.28,remote,0.28,0.28,0.0
0.207,remote,0.207,0.207,0.0
0.218,remote,0.218,0.218,0.0
0.198,remote,0.198,0.198,0.0
0.185,remote,0.185,0.185,0.0
0.187,remote,0.187,0.187,0.0
0.259,remote,0.259,0.259,0.0
0.169,remote,0.169,0.169,0.0
0.214,remote,0.214,0.214,0.0
0.222,remote,0.222,0.222,0.0
0.227,remote,0.227,0.227,0.0
0.269,remote,0.269,0.269,0.0
0.241,remote,0.241,0.241,0.0
0.262,remote,0.262,0.262,0.0
0.194,remote,0.194,0.194,0.0
0.266,remote,0.266,0.266,0.0
0.306,remote,0.306,0.306,0.0
0.276,remote,0.276,0.276,0.0
0.217,remote,0.217,0.217,0.0
0.289,remote,0.289,0.289,0.0
0.201,remote,0.201,0.201,0.0
0.196,remote,0.196,0.196,0.0
0.313,remote,0.313,0.313,0.0
0.316,remote,0.316,0.316,0.0
0.259,remote,0.259,0.259,0.0
0.2,remote,0.2,0.2,0.0
0.223,remote,0.223,0.223,0.0
0.278,remote,0.278,0.278,0.0
0.262,remote,0.262,0.262,0.0
0.297,remote,0.297,0.297,0.0
0.215,remote,0.215,0.215,0.0
0.32,remote,0.32,0.32,0.0
0.266,remote,0.266,0.266,0.0
0.249,remote,0.249,0.249,0.0
0.229,remote,0.229,0.229,0.0
0.285,remote,0.285,0.285,0.0
0.203,remote,0.203,0.203,0.0
0.3,remote,0.3,0.3,0.0
0.272,remote,0.272,0.272,0.0
0.315,remote,0.315,0.315,0.0
0.238,remote,0.238,0.238,0.0
0.241,remote,0.241,0.241,0.0
0.198,remote,0.198,0.198,0.0
0.301,remote,0.301,0.301,0.0
0.31,remote,0.31,0.31,0.0
0.209,remote,0.209,0.209,0.0
0.204,remote,0.204,0.204,0.0
0.3,remote,0.3,0.3,0.0
0.205,remote,0.205,0.205,0.0
0.303,remote,0.303,0.303,0.0
0.306,remote,0.306,0.306,0.0
0.19,remote,0.19,0.19,0.0
0.282,remote,0.282,0.282,0.0
0.208,remote,0.208,0.208,0.0
0.303,remote,0.303,0.303,0.0
0.235,remote,0.235,0.235,0.0
0.264,remote,0.264,0.264,0.0
0.223,remote,0.223,0.223,0.0
