TotalResponseTime,type,DurationTimeHist,ResponseTimeHist,InitCost
2.591,remote,2.0140000000000002,2.0140000000000002,0.0
1.282,remote,0.774,0.774,0.0
1.917,remote,0.8220000000000001,0.8220000000000001,0.0
0.464,remote,0.232,0.232,0.0
1.228,remote,1.228,1.228,0.0
1.584,remote,1.0630000000000002,1.0630000000000002,0.0
0.986,remote,0.782,0.782,0.0
0.856,remote,0.856,0.856,0.0
0.866,remote,0.648,0.648,0.0
0.537,remote,0.537,0.537,0.0
1.835,remote,0.786,0.786,0.0
1.18,remote,0.946,0.946,0.0
2.129,remote,1.7080000000000002,1.7080000000000002,0.0
1.803,remote,1.3449999999999998,1.3449999999999998,0.0
2.825,remote,1.861,1.861,0.0
1.427,remote,1.228,1.228,0.0
0.962,remote,0.481,0.481,0.0
2.0,remote,1.7349999999999999,1.7349999999999999,0.0
2.266,remote,1.5890000000000002,1.5890000000000002,0.0
1.218,remote,1.218,1.218,0.0
0.997,remote,0.499,0.499,0.0
0.707,remote,0.706,0.706,0.0
0.687,remote,0.6869999999999999,0.6869999999999999,0.0
0.833,remote,0.555,0.555,0.0
0.395,remote,0.396,0.396,0.0
2.501,remote,2.178,2.178,0.0
1.338,remote,0.884,0.884,0.0
0.5,remote,0.501,0.501,0.0
0.384,remote,0.384,0.384,0.0
0.614,remote,0.614,0.614,0.0
2.318,remote,2.097,2.097,0.0
1.658,remote,1.235,1.235,0.0
0.444,remote,0.222,0.222,0.0
0.906,remote,0.453,0.453,0.0
0.922,remote,0.696,0.696,0.0
0.584,remote,0.385,0.385,0.0
0.58,remote,0.58,0.58,0.0
1.907,remote,0.966,0.966,0.0
0.888,remote,0.8879999999999999,0.8879999999999999,0.0
2.17,remote,1.472,1.472,0.0
1.988,remote,1.24,1.24,0.0
1.022,remote,0.762,0.762,0.0
1.108,remote,1.108,1.108,0.0
0.387,remote,0.387,0.387,0.0
2.263,remote,1.13,1.13,0.0
0.815,remote,0.543,0.543,0.0
1.414,remote,0.998,0.998,0.0
0.517,remote,0.517,0.517,0.0
1.938,remote,1.939,1.939,0.0
0.59,remote,0.591,0.591,0.0
0.243,remote,0.243,0.243,0.0
1.743,remote,1.368,1.368,0.0
0.877,remote,0.656,0.656,0.0
0.895,remote,0.447,0.447,0.0
1.666,remote,1.143,1.143,0.0
1.211,remote,1.2109999999999999,1.2109999999999999,0.0
0.463,remote,0.463,0.463,0.0
1.95,remote,1.4,1.4,0.0
1.323,remote,1.1039999999999999,1.1039999999999999,0.0
0.623,remote,0.415,0.415,0.0
1.844,remote,1.526,1.526,0.0
2.589,remote,1.647,1.647,0.0
0.555,remote,0.555,0.555,0.0
1.046,remote,0.781,0.781,0.0
0.511,remote,0.511,0.511,0.0
0.389,remote,0.389,0.389,0.0
2.52,remote,1.969,1.969,0.0
1.326,remote,1.107,1.107,0.0
